id,label,grounding,source,url,date,attack_tactics,attack_techniques,text
1,incident_case_study,verified,The DFIR Report,https://thedfirreport.com/2025/02/24/confluence-exploit-leads-to-lockbit-ransomware/,2025-02-24,"Initial Access,Defense Evasion,Impact","T1190,T1219,T1567.002,T1486","An attacker exploited CVE-2023-22527 on an exposed Confluence server, established persistence via AnyDesk and Metasploit, exfiltrated data with Rclone to MEGA.io, and deployed LockBit ransomware across the environment in about 2 hours and 6 minutes."
2,incident_case_study,verified,The DFIR Report,https://thedfirreport.com/2025/03/31/fake-zoom-ends-in-blacksuit-ransomware/,2025-03-31,"Initial Access,Execution,Impact","T1204.002,T1105,T1021.001,T1486","A fake Zoom installer delivered via d3f@ckloader and IDAT loader led to SectopRAT, Cobalt Strike, and Brute Ratel for lateral movement, ending in BlackSuit ransomware after roughly 194 hours over nine calendar days."
3,incident_case_study,verified,The DFIR Report,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/,2025-01-27,"Execution,Command and Control,Impact","T1059.001,T1090,T1567.002,T1486","A Cobalt Strike beacon disguised as the Windows Media Configuration Utility began this intrusion; the operator deployed SOCKS proxy tools, exfiltrated data via Rclone, and deployed LockBit on day 11 for a time-to-ransom of about 239 hours."
4,incident_case_study,verified,The DFIR Report,https://thedfirreport.com/2025/09/08/blurring-the-lines-intrusion-shows-connection-with-three-major-ransomware-gangs/,2025-09-08,"Initial Access,Command and Control,Exfiltration","T1204.002,T1090,T1048","A malicious executable masquerading as DeskSoft EarthTime deployed SectopRAT; the actor used SystemBC for proxy tunneling and exfiltrated data over unencrypted FTP, with evidence linking the activity to three major ransomware operations."
5,incident_case_study,verified,The DFIR Report,https://thedfirreport.com/2026/04/22/bissa-scanner-exposed-ai-assisted-mass-exploitation-and-credential-harvesting/,2026-04-22,"Initial Access,Credential Access,Collection","T1190,T1589.001,T1213","An exposed server revealed an AI-assisted mass-exploitation operation abusing React2Shell (CVE-2025-55182) to scan millions of targets, achieving 900+ confirmed compromises and harvesting credentials from dozens of SaaS platforms."
6,threat_actor_profile,verified,Unit 42 (Palo Alto Networks),https://unit42.paloaltonetworks.com/muddled-libra/,2025-07-25,"Initial Access,Credential Access,Exfiltration","T1566.004,T1003.003,T1555.005,T1114.002,T1567.002","Muddled Libra (Scattered Spider, UNC3944) relies on vishing and smishing for initial access, escalates from help-desk access to domain admin in roughly 40 minutes, and minimizes malware by abusing legitimate tools; average dwell time was 1 day, 8 hours, 43 minutes."
7,threat_actor_profile,verified,Microsoft Threat Intelligence,https://www.microsoft.com/en-us/security/blog/2025/08/27/storm-0501s-evolving-techniques-lead-to-cloud-based-ransomware/,2025-08-27,"Credential Access,Discovery,Impact","T1003,T1098,T1087,T1580,T1526","Storm-0501 has shifted from on-prem ransomware to cloud-based tactics, using DCSync for credentials and cloud-native capabilities to rapidly exfiltrate data, destroy backups, and extort victims without deploying traditional malware."
8,threat_actor_profile,verified,Microsoft Threat Intelligence,https://www.microsoft.com/en-us/security/blog/2025/07/16/protecting-customers-from-octo-tempest-attacks-across-multiple-industries/,2025-07-16,"Initial Access,Credential Access,Impact","T1566,T1556,T1486","Octo Tempest (Scattered Spider) uses SMS phishing with AiTM domains and aggressive social engineering, deploys ngrok and Chisel, targets hybrid identity infrastructure, and deploys DragonForce ransomware against VMware ESX hypervisors."
9,threat_actor_profile,verified,Unit 42 (Palo Alto Networks),https://unit42.paloaltonetworks.com/2025-ransomware-extortion-trends/,2025-04-23,"Defense Evasion,Impact","T1562.001,T1486","Unit 42's H1 2025 analysis finds extortion actors making false breach claims, nation-state collaboration with ransomware crews, EDR-bypass tooling to disable sensors during encryption, and expansion to cloud, Linux, ESXi and macOS; RansomHub (Spoiled Scorpius) was most prolific."
10,detection_engineering,verified,Elastic Security Labs,https://www.elastic.co/security-labs/primer-on-persistence-mechanisms,2024-08-21,"Persistence","T1053.003,T1543.002,T1546.004,T1098.004","A detection-engineering primer on Linux persistence mechanisms, covering cron jobs, systemd services and timers, shell-configuration modification, and SSH account manipulation, with hunting and detection guidance for defenders."
